ID,present,WC_alt,WC_bio1,WC_bio2,ER_climaticMoistureIndex,ER_topoWet,lon,lat
1881,1,202,29.200000762939453,13.899999618530273,-0.7799999713897705,12.930000305175781,2.944246,13.50467
1882,1,234,29,14,-0.7799999713897705,12.720000267028809,2.86092,13.532159
1883,1,202,29.200000762939453,13.899999618530273,-0.7799999713897705,12.930000305175781,2.95828,13.509775
1884,1,226,29,14,-0.7699999809265137,12.220000267028809,2.672645,13.454104
1885,1,226,29,14,-0.7699999809265137,12.220000267028809,2.743283,13.430175
1886,1,177,29.100000381469727,13.399999618530273,-0.6800000071525574,13.109999656677246,2.912204,12.445582
1887,1,245,28.899999618530273,14,-0.7799999713897705,12.84000015258789,2.769517,13.511294
1888,1,252,28.899999618530273,14.100000381469727,-0.7799999713897705,12.729999542236328,2.641746,13.442419
1889,1,220,29.100000381469727,13.899999618530273,-0.7699999809265137,12.65999984741211,2.858093,13.48204
1890,1,191,29.100000381469727,13.5,-0.699999988079071,12.75,2.968919,12.781305
1891,1,209,29.100000381469727,13.899999618530273,-0.7599999904632568,13.0600004196167,2.895033,13.339862
1892,1,251,28.700000762939453,13.600000381469727,-0.6899999976158142,13.449999809265137,2.625625,12.73502
1893,1,227,29,13.899999618530273,-0.75,12.699999809265137,2.821804,13.226059
1894,1,280,29.100000381469727,14.300000190734863,-0.8199999928474426,12.520000457763672,2.452091,14.321388
1895,1,232,29,14,-0.7699999809265137,12.430000305175781,2.800369,13.489752
1896,1,232,29,14,-0.7699999809265137,12.430000305175781,2.788604,13.494622
1897,1,203,29.100000381469727,13.899999618530273,-0.7599999904632568,12.789999961853027,2.995444,13.378247
1898,1,219,28.899999618530273,13.5,-0.6899999976158142,12.609999656677246,2.767291,12.626037
1899,1,208,29.100000381469727,13.800000190734863,-0.7400000095367432,12.800000190734863,2.958037,13.229602
1900,1,237,28.799999237060547,13.600000381469727,-0.6899999976158142,12.75,2.740799,12.605153
1901,1,227,28.899999618530273,13.699999809265137,-0.699999988079071,12.720000267028809,2.669697,12.772961
1902,1,227,28.799999237060547,13.600000381469727,-0.6899999976158142,12.520000457763672,2.654751,12.648549
1903,1,178,29.100000381469727,13.5,-0.6899999976158142,13.100000381469727,2.89345,12.592506
1904,1,198,29,13.399999618530273,-0.6800000071525574,12.6899995803833,2.8093,12.457709
1905,1,194,29.100000381469727,13.800000190734863,-0.7400000095367432,13.15999984741211,2.902097,13.211138
1906,1,252,28.899999618530273,14,-0.7699999809265137,13.020000457763672,2.603111,13.379034
1907,1,230,29.100000381469727,14.100000381469727,-0.7900000214576721,12.140000343322754,2.610661,13.550228
1908,1,194,29.100000381469727,13.800000190734863,-0.7400000095367432,13.15999984741211,2.84269,13.225343
1909,1,194,29.100000381469727,13.800000190734863,-0.7400000095367432,13.15999984741211,2.890847,13.209275
1910,1,227,28.799999237060547,13.600000381469727,-0.6899999976158142,12.520000457763672,2.601055,12.666475
1911,1,188,29,13.399999618530273,-0.6800000071525574,12.710000038146973,2.831432,12.415179
1912,1,258,29.100000381469727,14.199999809265137,-0.8100000023841858,12.25,2.503725,14.222936
1913,1,237,29,14.100000381469727,-0.7799999713897705,12.359999656677246,2.681772,13.564795
1914,1,239,28.799999237060547,13.600000381469727,-0.6899999976158142,12.880000114440918,2.708309,12.700073
1915,1,203,29.100000381469727,13.899999618530273,-0.7599999904632568,12.789999961853027,2.929647,13.352646
1916,1,251,28.700000762939453,13.600000381469727,-0.6899999976158142,13.449999809265137,2.640009,12.726662
1917,1,266,29.100000381469727,14.300000190734863,-0.8199999928474426,12.579999923706055,2.491524,14.206519
1918,1,271,29.100000381469727,14.300000190734863,-0.8199999928474426,12.40999984741211,2.414188,14.237441
1919,1,243,28.799999237060547,13.699999809265137,-0.699999988079071,13.170000076293945,2.609084,12.777791
1920,1,205,29.100000381469727,13.800000190734863,-0.75,12.869999885559082,2.964341,13.291511
1921,1,266,29.100000381469727,14.300000190734863,-0.8199999928474426,12.579999923706055,2.48321,14.209387
1922,1,227,28.899999618530273,13.699999809265137,-0.699999988079071,12.720000267028809,2.668477,12.787965
1923,1,194,29.100000381469727,13.800000190734863,-0.7400000095367432,13.15999984741211,2.916604,13.203257
1924,1,239,28.799999237060547,13.600000381469727,-0.6899999976158142,12.880000114440918,2.720032,12.715039
1925,1,230,29.100000381469727,14.100000381469727,-0.7900000214576721,12.140000343322754,2.623575,13.579603
1926,1,243,28.899999618530273,13.800000190734863,-0.7300000190734863,12.9399995803833,2.673181,13.027647
